WL,PDE
327.722,3.15249
329.027,3.83819
331.670,5.51457
336.740,6.80875
340.783,10.0858
345.790,10.7700
344.652,11.6854
348.528,13.3613
347.477,15.1154
350.119,16.7918
355.404,20.1445
355.444,20.5258
363.054,22.5052
368.203,24.5618
388.485,29.7385
387.315,30.3489
396.135,32.0991
408.751,34.7627
415.040,35.9039
423.835,37.4254
433.810,38.4126
448.711,39.3217
464.831,40.0777
484.525,39.6124
493.098,38.9990
507.841,38.3832
522.536,37.3099
532.248,35.7811
544.443,34.4038
555.405,33.0270
570.029,31.2675
578.547,30.1204
589.461,28.2861
604.092,26.6029
617.498,24.9963
629.677,23.4666
646.729,21.3249
654.045,20.4832
661.305,19.1079
675.992,17.9583
701.688,15.8895
708.956,14.5904
734.716,13.1314
749.396,11.9056
772.664,10.2189
793.521,9.06694
809.457,8.06939
829.104,7.14662
848.750,6.22384
865.913,5.14955
899.108,3.99264
