WL,A
359.969,0.363793
362.758,0.397294
364.849,0.424088
366.938,0.454217
370.079,0.487737
371.812,0.524517
374.245,0.568005
375.637,0.588091
377.375,0.618201
379.113,0.648311
381.898,0.688483
382.934,0.718555
385.374,0.748702
386.409,0.778775
387.104,0.792153
390.938,0.839051
392.676,0.869161
395.820,0.896011
399.310,0.932885
400.004,0.946263
403.505,0.963126
405.955,0.976598
408.756,0.990088
410.166,0.980158
412.983,0.966967
415.804,0.947106
416.881,0.907141
419.357,0.877255
422.540,0.837402
424.661,0.814169
426.432,0.787581
428.201,0.764329
429.618,0.744393
432.093,0.714508
434.218,0.684604
435.287,0.657979
437.070,0.611381
438.496,0.574769
440.275,0.534841
440.999,0.498192
442.425,0.461580
443.846,0.434974
444.915,0.408349
445.282,0.381687
447.414,0.338442
448.491,0.298477
449.570,0.255176
450.639,0.228551
452.416,0.191958
454.894,0.158738
456.673,0.118810
459.851,0.0889622
462.326,0.0590770
464.796,0.0391973
469.019,0.0227464
472.885,0.0162823
477.105,0.00650166
479.211,0.00661408
